A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,100179,LANÇADA (R AGRICULTURA 195),38.687200000,-8.955640000,,,100179,,1073,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100180,LANÇADA (R AGRICULTURA 195),38.687300000,-8.955600000,,,100180,,1073,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100181,LANÇADA (R AGRICULTURA 195),38.688000000,-8.962240000,,,100181,,1072,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100182,LANÇADA (R AGRICULTURA 195),38.688000000,-8.962220000,,,100182,,1072,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100183,ESTR DO ARCE,38.683800000,-8.962010000,,,100183,,129151,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100184,ESTR DO ARCE,38.683800000,-8.961950000,,,100184,,129151,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100185,SARILHOS GRANDES (EN 11) ESC BÁSICA,38.681300000,-8.963380000,,,100185,,32848,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100186,SARILHOS GRANDES (EN 11) ESC BÁSICA,38.681200000,-8.963350000,,,100186,,32848,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100187,SARILHOS GRANDES (EN 11 9),38.680300000,-8.966430000,,,100187,,32849,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100188,SARILHOS GRANDES (EN 11 9),38.680200000,-8.966400000,,,100188,,32849,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100189,SARILHOS GRANDES PRAÇA LIBERDADE,38.678500000,-8.968390000,,,100189,,32850,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100190,SARILHOS GRANDES PRAÇA LIBERDADE,38.678500000,-8.968320000,,,100190,,32850,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100191,SARILHOS GR L (R GIRASSOL) Z INDUSTRIA,38.670140000,-8.962980000,,,100191,,129150,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100192,SARILHOS GR L (R GIRASSOL) Z INDUSTRIA,38.670170000,-8.962910000,,,100192,,129150,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100193,ESTRADA DOS PAULINOS,38.663400000,-8.961900000,,,100193,,1068,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100194,ESTRADA DOS PAULINOS,38.663400000,-8.961840000,,,100194,,1068,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100195,ESTR DOS 4 MARCOS,38.658900000,-8.953330000,,,100195,,1067,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100196,ESTR DOS 4 MARCOS,38.658800000,-8.953270000,,,100196,,1067,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100197,ESTR DOS 4 MARCOS 8,38.668700000,-8.955520000,,,100197,,1066,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100198,ESTR DOS 4 MARCOS 8,38.668800000,-8.955460000,,,100198,,1066,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100199,SARILHOS APEADEIRO (EN11)XEN252,38.685900000,-8.945010000,,,100199,,32844,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100201,CANHA (R CASTELO) TERMINAL,38.768100000,-8.626270000,,,100201,,32228,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100202,CANHA (R CASTELO) TERMINAL,38.768100000,-8.626190000,,,100202,,32228,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100203,CANHA (EN 251) LGO MANUEL MAURICIO,38.765900000,-8.626840000,,,100203,,32227,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100204,CANHA (EN 251) LGO MANUEL MAURICIO,38.765900000,-8.626780000,,,100204,,32227,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100205,CANHA (R POVO UNIDO 9),38.764700000,-8.627360000,,,100205,,32220,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100206,CANHA (R POVO UNIDO 9),38.764800000,-8.627300000,,,100206,,32220,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100207,FOROS BOAVISTA X ESTR FOROS AZINHAL,38.761300000,-8.627090000,,,100207,,32221,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100208,FOROS BOAVISTA X ESTR FOROS AZINHAL,38.761300000,-8.627020000,,,100208,,32221,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100209,FOROS BOAVISTA,38.758500000,-8.626320000,,,100209,,32222,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100210,FOROS BOAVISTA,38.758500000,-8.626250000,,,100210,,32222,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100211,FOROS BOAVISTA,38.755500000,-8.624340000,,,100211,,32223,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100212,FOROS BOAVISTA,38.755500000,-8.624290000,,,100212,,32223,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100213,FOROS BOAVISTA (ESTR CIRCUNV) VIVENDA,38.755200000,-8.622500000,,,100213,,32226,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
